Name,Primary,Secondary,Rating,Team,MPG
Josh Reaves,SG,PG,67,Mavericks,0.7
Josh Richardson,SG,PG,79,76ers,30.7
Jrue Holiday,SG,PG,83,Pelicans,34.9
Juancho Hernangomez,PF,SF,74,Timberwolves,17.4
Juan Toscano-Anderson,SF,PF,69,Warriors,20.9
Julius Randle,PF,C,82,Knicks,32.5
Justin Holiday,SF,SG,76,Pacers,24.9
Justin Jackson,PF,SF,73,Mavericks,16.0
Justin James,SF,SG,69,Kings,6.4
Justin Wright-Foreman,PG,,67,Jazz,1.5
Justise Winslow,SF,SG,77,Grizzlies,32.0
Jusuf Nurkic,C,,83,Trail Blazers,0
Juwan Morgan,PF,,68,Jazz,4.6
Kadeem Allen,PG,SG,72,Knicks,11.7
Karl-Anthony Towns,C,,90,Timberwolves,33.9
Kawhi Leonard,SF,PF,96,Clippers,32.2
Keita Bates-Diop,PF,SF,72,Nuggets,17.1
Kelan Martin,SF,SG,72,Timberwolves,16.0
Keldon Johnson,SF,SG,72,Spurs,10.2
Kelly Olynyk,C,PF,78,Heat,18.5
Kelly Oubre Jr.,SF,PF,81,Suns,34.5
Kemba Walker,PG,,87,Celtics,31.8
Kendrick Nunn,PG,SG,78,Heat,29.8
Kenny Wooten,PF,,69,Knicks,0
Kenrich Williams,PF,SF,71,Pelicans,22.3
Kent Bazemore,SF,SG,74,Kings,25.1
Kentavious Caldwell-Pope,SF,SG,75,Lakers,25.5
Kevin Durant,SF,PF,96,Nets,0
Kevin Hervey,PF,,69,Thunder,2.8
Kevin Huerter,SG,SF,75,Hawks,31.4
Kevin Knox,SF,PF,72,Knicks,17.9
Kevin Love,PF,C,82,Cavaliers,31.8
Kevin Porter Jr.,SF,SG,75,Cavaliers,23.2
Kevon Looney,C,,77,Warriors,13.1
Khem Birch,C,PF,72,Magic,19.4
Khris Middleton,SF,SG,87,Bucks,30.1
Khyri Thomas,SG,PG,69,Pistons,7.7
Klay Thompson,SG,SF,89,Warriors,25
Kobi Simmons ,PG,SG,66,Hornets,0
Kostas Antetokounmpo,C,,69,Lakers,1.7
Kris Dunn,PG,,75,Bulls,24.9
Kristaps Porzingis,C,PF,86,Mavericks,31.3
Ky Bowman,PG,,72,Warriors,22.6
Kyle Alexander,PF,C,68,Heat,0
Kyle Anderson,SF,PF,75,Grizzlies,19.3
Kyle Guy,PG,SG,69,Kings,2.0
Kyle Korver,SF,SG,73,Bucks,16.7
Kyle Kuzma,PF,SF,76,Lakers,24.6
Kyle Lowry,PG,,85,Raptors,36.6
Kyle O'Quinn,C,PF,74,76ers,9.9
Kyrie Irving,PG,,91,Nets,32.9
KZ Okpala,SF,SG,71,Heat,5.2
